Парфенович,Профессор,Без степени,Старший преподаватель,Химия
Лаптева,Без звания,Без степени,Доцент,Математика
Харитонов,Без звания,Доктор наук,Преподаватель,Психология
Царюк,Без звания,Кандидат наук,Доцент,Политология
Ковалев,Доцент,Без степени,Старший преподаватель,Биология
Царюк,Доцент,Без степени,Доцент,Химия
Лаптева,Доцент,Без степени,Старший преподаватель,Математика
Шабунин,Профессор,Без степени,Доцент,Биология
Титоренко,Профессор,Кандидат наук,Преподаватель,Математика
Евсиков,Доцент,Доктор наук,Старший преподаватель,Политология
Лаптева,Доцент,Кандидат наук,Старший преподаватель,Психология
Попенко,Без звания,Без степени,Старший преподаватель,Физика
Ковалев,Без звания,Кандидат наук,Доцент,Математика
Парфенович,Профессор,Доктор наук,Доцент,Психология
Тынчиров,Доцент,Без степени,Старший преподаватель,Психология
Шабунин,Профессор,Кандидат наук,Старший преподаватель,Психология
Ковалев,Без звания,Без степени,Старший преподаватель,Филология
Царюк,Без звания,Без степени,Профессор,История
Брещенко,Доцент,Без степени,Доцент,Физика
Евсиков,Профессор,Без степени,Профессор,История
Тынчиров,Доцент,Кандидат наук,Профессор,Химия
Приходько,Без звания,Кандидат наук,Старший преподаватель,Математика
Царюк,Без звания,Кандидат наук,Преподаватель,Филология
Лаптева,Доцент,Без степени,Профессор,Физика
Царюк,Доцент,Без степени,Старший преподаватель,Психология
Ковалев,Без звания,Без степени,Старший преподаватель,Филология
Титоренко,Доцент,Кандидат наук,Профессор,Математика
Ковалев,Без звания,Кандидат наук,Доцент,Физика
Царюк,Без звания,Доктор наук,Старший преподаватель,Психология
Лаптева,Без звания,Без степени,Профессор,Физика
Харитонов,Доцент,Без степени,Профессор,Математика
Парфенович,Без звания,Без степени,Преподаватель,Психология
Приходько,Без звания,Кандидат наук,Доцент,Психология
Приходько,Без звания,Без степени,Старший преподаватель,Психология
Царюк,Доцент,Без степени,Профессор,Математика
Парфенович,Без звания,Кандидат наук,Преподаватель,Математика
Тынчиров,Без звания,Без степени,Профессор,Филология
Брещенко,Доцент,Без степени,Преподаватель,Политология
Парфенович,Доцент,Кандидат наук,Преподаватель,Филология
Парфенович,Доцент,Без степени,Старший преподаватель,Психология
Шабунин,Доцент,Без степени,Профессор,История
Шабунин,Профессор,Без степени,Доцент,Химия
Тынчиров,Без звания,Без степени,Старший преподаватель,Физика
Лаптева,Без звания,Без степени,Старший преподаватель,Политология
Царюк,Профессор,Доктор наук,Преподаватель,Биология
Харитонов,Без звания,Без степени,Старший преподаватель,Математика
Тарасова,Профессор,Доктор наук,Старший преподаватель,Политология
Волков,Без звания,Без степени,Старший преподаватель,Математика
Харитонов,Профессор,Кандидат наук,Старший преподаватель,Химия
Приходько,Без звания,Без степени,Старший преподаватель,Филология
Харитонов,Без звания,Без степени,Преподаватель,Математика
Приходько,Без звания,Доктор наук,Преподаватель,Психология
Волков,Профессор,Без степени,Профессор,Физика
Приходько,Профессор,Без степени,Старший преподаватель,Химия
Лаптева,Без звания,Кандидат наук,Преподаватель,Биология
Приходько,Доцент,Кандидат наук,Доцент,Химия
Тынчиров,Профессор,Кандидат наук,Доцент,Физика
Парфенович,Доцент,Доктор наук,Профессор,Филология
Евсиков,Доцент,Без степени,Преподаватель,Математика
Парфенович,Профессор,Без степени,Старший преподаватель,Математика
Тарасова,Доцент,Кандидат наук,Профессор,Биология
Парфенович,Без звания,Кандидат наук,Профессор,Политология
Тарасова,Профессор,Без степени,Старший преподаватель,Физика
Тынчиров,Профессор,Кандидат наук,Преподаватель,Политология
Евсиков,Профессор,Без степени,Доцент,Психология
Приходько,Профессор,Кандидат наук,Старший преподаватель,Математика
Шабунин,Без звания,Доктор наук,Профессор,История
Шабунин,Доцент,Кандидат наук,Доцент,Филология
Титоренко,Доцент,Без степени,Старший преподаватель,Химия
Парфенович,Без звания,Доктор наук,Доцент,Математика
Тарасова,Профессор,Кандидат наук,Доцент,Политология
Ковалев,Без звания,Кандидат наук,Преподаватель,Физика
Парфенович,Профессор,Без степени,Доцент,Математика
Волков,Без звания,Без степени,Профессор,Химия
Брещенко,Доцент,Доктор наук,Преподаватель,Психология
Тарасова,Доцент,Без степени,Доцент,Химия
Ковалев,Без звания,Доктор наук,Профессор,Политология
Тынчиров,Доцент,Без степени,Доцент,Химия
Царюк,Без звания,Без степени,Старший преподаватель,Психология
Тынчиров,Профессор,Доктор наук,Доцент,Физика
Лаптева,Без звания,Без степени,Доцент,Химия
Волков,Без звания,Без степени,Доцент,Математика
Андреев,Без звания,Без степени,Профессор,История
Волков,Доцент,Без степени,Профессор,Филология
Титоренко,Без звания,Без степени,Профессор,Математика
Шабунин,Доцент,Без степени,Доцент,Физика
Евсиков,Без звания,Без степени,Старший преподаватель,История
Попенко,Без звания,Без степени,Доцент,Политология
Тарасова,Профессор,Без степени,Старший преподаватель,Химия
Тарасова,Профессор,Кандидат наук,Профессор,История
Шабунин,Доцент,Кандидат наук,Преподаватель,Математика
Титоренко,Без звания,Кандидат наук,Преподаватель,Математика
Волков,Без звания,Доктор наук,Доцент,Биология
Харитонов,Доцент,Доктор наук,Доцент,Химия
Ковалев,Доцент,Кандидат наук,Старший преподаватель,Математика
Ковалев,Доцент,Без степени,Доцент,Биология
Андреев,Доцент,Доктор наук,Старший преподаватель,Математика
Брещенко,Без звания,Доктор наук,Старший преподаватель,Химия
Харитонов,Доцент,Доктор наук,Старший преподаватель,Биология
Волков,Без звания,Без степени,Старший преподаватель,Биология
Волков,Профессор,Доктор наук,Преподаватель,Филология
Приходько,Доцент,Кандидат наук,Преподаватель,Психология
Брещенко,Без звания,Доктор наук,Профессор,Химия
Евсиков,Доцент,Доктор наук,Старший преподаватель,Биология
Царюк,Профессор,Без степени,Старший преподаватель,Филология
Попенко,Доцент,Без степени,Старший преподаватель,Математика
Харитонов,Доцент,Без степени,Преподаватель,Математика
Ковалев,Без звания,Доктор наук,Старший преподаватель,Филология
Евсиков,Профессор,Кандидат наук,Преподаватель,История
Брещенко,Без звания,Кандидат наук,Старший преподаватель,Математика
Лаптева,Доцент,Без степени,Старший преподаватель,Математика
Брещенко,Доцент,Без степени,Доцент,История
Андреев,Доцент,Кандидат наук,Доцент,Биология
Лаптева,Доцент,Без степени,Старший преподаватель,Психология
Андреев,Доцент,Кандидат наук,Преподаватель,Биология
Тынчиров,Без звания,Без степени,Старший преподаватель,Филология
Титоренко,Доцент,Доктор наук,Преподаватель,Химия
Шабунин,Без звания,Без степени,Старший преподаватель,Психология
Тарасова,Профессор,Без степени,Профессор,Математика
Тынчиров,Без звания,Без степени,Старший преподаватель,Психология
Попенко,Доцент,Доктор наук,Преподаватель,Политология
Парфенович,Доцент,Кандидат наук,Профессор,Математика
Брещенко,Без звания,Без степени,Преподаватель,История
Парфенович,Без звания,Без степени,Старший преподаватель,Филология
Андреев,Без звания,Без степени,Профессор,Филология
Ковалев,Доцент,Доктор наук,Преподаватель,Политология
Парфенович,Доцент,Без степени,Доцент,Биология
Приходько,Доцент,Без степени,Преподаватель,Психология
Тынчиров,Без звания,Без степени,Доцент,Филология
Брещенко,Без звания,Доктор наук,Старший преподаватель,Математика
Брещенко,Доцент,Кандидат наук,Старший преподаватель,Физика
Брещенко,Доцент,Без степени,Старший преподаватель,Политология
Парфенович,Доцент,Без степени,Старший преподаватель,Филология
Ковалев,Профессор,Доктор наук,Старший преподаватель,История
Андреев,Доцент,Кандидат наук,Доцент,Биология
Брещенко,Профессор,Кандидат наук,Доцент,Психология
Харитонов,Без звания,Без степени,Старший преподаватель,Политология
Титоренко,Без звания,Без степени,Доцент,Математика
Тынчиров,Без звания,Доктор наук,Профессор,Психология
Андреев,Без звания,Кандидат наук,Преподаватель,Психология
Шабунин,Доцент,Кандидат наук,Старший преподаватель,Математика
Ковалев,Профессор,Без степени,Преподаватель,Химия
Волков,Доцент,Кандидат наук,Старший преподаватель,Математика
Лаптева,Профессор,Без степени,Старший преподаватель,Математика
Тынчиров,Доцент,Кандидат наук,Преподаватель,Математика
Шабунин,Без звания,Кандидат наук,Старший преподаватель,Математика
Харитонов,Доцент,Кандидат наук,Старший преподаватель,Политология
Титоренко,Профессор,Кандидат наук,Профессор,Химия
Царюк,Без звания,Без степени,Преподаватель,Физика
Тарасова,Без звания,Без степени,Старший преподаватель,История
Тынчиров,Без звания,Без степени,Доцент,Биология
Царюк,Доцент,Без степени,Профессор,Политология
Титоренко,Доцент,Доктор наук,Преподаватель,Математика
Лаптева,Без звания,Без степени,Преподаватель,Физика
Харитонов,Без звания,Доктор наук,Старший преподаватель,Психология
Брещенко,Профессор,Кандидат наук,Профессор,Филология
Брещенко,Доцент,Без степени,Доцент,Химия
Ковалев,Доцент,Кандидат наук,Преподаватель,История
Попенко,Доцент,Без степени,Профессор,Математика
Тынчиров,Доцент,Без степени,Доцент,Химия
Попенко,Без звания,Кандидат наук,Профессор,Биология
Лаптева,Без звания,Кандидат наук,Доцент,Филология
Приходько,Доцент,Без степени,Преподаватель,Физика
Титоренко,Профессор,Кандидат наук,Старший преподаватель,Психология
Андреев,Доцент,Без степени,Доцент,Физика
Ковалев,Профессор,Доктор наук,Старший преподаватель,Химия
Царюк,Доцент,Без степени,Старший преподаватель,Математика
Титоренко,Без звания,Кандидат наук,Преподаватель,История
Попенко,Без звания,Без степени,Старший преподаватель,Химия
Андреев,Без звания,Без степени,Профессор,Физика
Ковалев,Профессор,Доктор наук,Старший преподаватель,Политология
Евсиков,Без звания,Без степени,Преподаватель,Биология
Волков,Доцент,Без степени,Старший преподаватель,Психология
Шабунин,Без звания,Доктор наук,Профессор,Математика
Парфенович,Без звания,Кандидат наук,Профессор,История
Ковалев,Без звания,Доктор наук,Старший преподаватель,Психология
Харитонов,Доцент,Доктор наук,Старший преподаватель,Математика
Приходько,Доцент,Без степени,Профессор,Математика
Андреев,Профессор,Без степени,Доцент,Математика
Попенко,Доцент,Без степени,Профессор,Биология
Волков,Доцент,Без степени,Профессор,Филология
Тынчиров,Доцент,Доктор наук,Преподаватель,Математика
Брещенко,Без звания,Кандидат наук,Доцент,Психология
Андреев,Профессор,Без степени,Преподаватель,Химия
Тынчиров,Без звания,Кандидат наук,Старший преподаватель,Психология
Тынчиров,Доцент,Без степени,Профессор,Математика
Шабунин,Без звания,Кандидат наук,Профессор,Политология
Парфенович,Без звания,Доктор наук,Профессор,Политология
Титоренко,Без звания,Без степени,Старший преподаватель,Филология
Парфенович,Без звания,Доктор наук,Старший преподаватель,Филология
Приходько,Без звания,Без степени,Профессор,Филология
Тынчиров,Доцент,Без степени,Доцент,Биология
Ковалев,Доцент,Без степени,Старший преподаватель,Физика
Попенко,Доцент,Без степени,Профессор,Психология
Ковалев,Доцент,Без степени,Профессор,Физика
Титоренко,Доцент,Без степени,Старший преподаватель,Математика
Лаптева,Доцент,Без степени,Доцент,Биология
Попенко,Без звания,Без степени,Доцент,Математика
Евсиков,Без звания,Без степени,Доцент,Политология
Шабунин,Без звания,Без степени,Доцент,Политология
Приходько,Профессор,Доктор наук,Профессор,Психология
Шабунин,Без звания,Без степени,Преподаватель,Филология
Парфенович,Без звания,Доктор наук,Старший преподаватель,Биология
Брещенко,Без звания,Кандидат наук,Старший преподаватель,История
Волков,Доцент,Без степени,Старший преподаватель,История
Шабунин,Доцент,Без степени,Старший преподаватель,История
Евсиков,Доцент,Кандидат наук,Старший преподаватель,Физика
Волков,Профессор,Без степени,Старший преподаватель,Филология
Харитонов,Доцент,Без степени,Профессор,Химия
Лаптева,Доцент,Без степени,Доцент,Психология
Парфенович,Доцент,Без степени,Профессор,Математика
Волков,Профессор,Доктор наук,Доцент,Физика
Волков,Профессор,Без степени,Доцент,Математика
Тарасова,Без звания,Доктор наук,Профессор,Биология
Евсиков,Доцент,Доктор наук,Старший преподаватель,Психология
Тынчиров,Профессор,Без степени,Старший преподаватель,Математика
Тынчиров,Без звания,Без степени,Преподаватель,История
Тынчиров,Доцент,Без степени,Старший преподаватель,Математика
Евсиков,Без звания,Доктор наук,Старший преподаватель,История
Евсиков,Без звания,Кандидат наук,Старший преподаватель,Политология
Ковалев,Доцент,Без степени,Профессор,Химия
Тынчиров,Доцент,Доктор наук,Преподаватель,Химия
Тынчиров,Доцент,Кандидат наук,Старший преподаватель,Биология
Лаптева,Без звания,Без степени,Старший преподаватель,Филология
Тарасова,Доцент,Без степени,Старший преподаватель,Политология
Тынчиров,Профессор,Кандидат наук,Доцент,Химия
Харитонов,Профессор,Доктор наук,Старший преподаватель,Физика
Тарасова,Без звания,Без степени,Доцент,История
Тынчиров,Профессор,Без степени,Профессор,Филология
Парфенович,Профессор,Без степени,Старший преподаватель,Физика
Ковалев,Профессор,Без степени,Старший преподаватель,История
Брещенко,Доцент,Без степени,Профессор,Математика
Титоренко,Профессор,Без степени,Профессор,Химия
Лаптева,Профессор,Кандидат наук,Преподаватель,История
Харитонов,Без звания,Без степени,Профессор,История
Парфенович,Без звания,Кандидат наук,Доцент,Математика
Парфенович,Без звания,Без степени,Доцент,Биология
Ковалев,Без звания,Кандидат наук,Профессор,Химия
